pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
1,,A group of boys in a yard is playing and a man is standing in the background,4.5,NEUTRAL
2,,A group of kids is playing in a yard and an old man is standing in the background,3.2,NEUTRAL
3,,The kids are playing outdoors near a man with a smile,4.7,ENTAILMENT
5,,A group of kids is playing in a yard and an old man is standing in the background,3.4,NEUTRAL
9,,A group of kids is playing in a yard and an old man is standing in the background,3.7,NEUTRAL
12,,Two dogs are wrestling and hugging,4.0,NEUTRAL
14,,Two dogs are fighting,3.5,NEUTRAL
18,,Two dogs are wrestling and hugging,3.2,NEUTRAL
25,,A person in a black jacket is doing tricks on a motorbike,2.8,NEUTRAL
26,,A man in a black jacket is doing tricks on a motorbike,3.7,NEUTRAL
28,,A person is riding the bicycle on one wheel,3.4,NEUTRAL
30,,The ball is being dunked by a man with a jersey at a basketball game,4.9,ENTAILMENT
35,,A man who is playing dunks the basketball into the net and a crowd is in background,3.6,NEUTRAL
40,,A man with a jersey is dunking the ball at a basketball game,3.8,NEUTRAL
42,,Two people are kickboxing and spectators are watching,3.4,CONTRADICTION
44,,Two women are sparring in a kickboxing match,4.9,ENTAILMENT
45,,Two women are sparring in a kickboxing match,3.9,NEUTRAL
47,,Two young women are not sparring in a kickboxing fight,3.415,NEUTRAL
49,,Two people are kickboxing and spectators are not watching,3.7,NEUTRAL
55,,Three kids are jumping in the leaves,4.4,ENTAILMENT
56,,Three kids are jumping in the leaves,3.8,NEUTRAL
58,,Three kids are sitting in the leaves,3.5,NEUTRAL
62,,Three kids are jumping in the leaves,4.0,NEUTRAL
65,,Two children are lying in the snow and are making snow angels,2.9,NEUTRAL
70,,Two people in snowsuits are lying in the snow and making snow angels,4.1,NEUTRAL
72,,Two angels are making snow on the lying children,2.5,NEUTRAL
73,,Two people in snowsuits are lying in the snow and making snow angels,4.2,NEUTRAL
77,,Masked people are looking in the same direction in a forest,4.4,ENTAILMENT
78,,People wearing costumes are scattering in a forest and are looking in different directions,3.2,NEUTRAL
79,,People wearing costumes are gathering in a forest and are looking in the same direction,3.635,NEUTRAL
81,,People wearing costumes are scattering in a forest and are looking in different directions,2.4,NEUTRAL
82,,People are looking at some costumes gathered in the vicinity of the forest,2.6,NEUTRAL
83,,People wearing costumes are gathering in a forest and are looking in the same direction,2.2,NEUTRAL
84,,The little girl is looking at a man in costume,3.0,NEUTRAL
85,,A little girl in costume looks like a woman,2.0,NEUTRAL
87,,"A biker is jumping in the air, alone",5.0,ENTAILMENT
88,,A lone biker is jumping in the air,4.2,CONTRADICTION
90,,A man is jumping into a full pool,3.0,CONTRADICTION
91,,The man's jumper is in the empty pool,3.1,NEUTRAL
93,,A man is jumping into a full pool,1.7,NEUTRAL
94,,A lone biker is jumping in the air,1.4,NEUTRAL
97,,A man is jumping into an empty pool,1.5,NEUTRAL
98,,Four children are doing backbends in the park,4.8,ENTAILMENT
99,,Four children are doing backbends in the park,3.8,NEUTRAL
100,,Four girls are doing backbends and playing outdoors,4.1,ENTAILMENT
107,,A player is running with the ball,4.3,ENTAILMENT
112,,A player is running with the ball,2.1,NEUTRAL
113,,A player is running with the ball,3.0,NEUTRAL
117,,Two teams are competing in a football match,2.6,NEUTRAL
120,,Five children are standing in front of a wooden hut,3.2,NEUTRAL
122,,Five kids are standing close together and none of the kids has a gun,3.7,CONTRADICTION
124,,Five children are standing in front of a wooden hut,2.6,NEUTRAL
126,,Five kids are standing close together and one kid has a gun,2.7,NEUTRAL
127,,Five kids are standing close together and one kid has a gun,2.3,NEUTRAL
129,,A man is sitting in a field,4.4,ENTAILMENT
130,,A man is running in a field,2.6,NEUTRAL
131,,A person is sitting in a field and is wearing a hat,4.1,NEUTRAL
133,,A person is wearing a hat and is sitting on the grass,3.4,NEUTRAL
136,,A man is sitting in a field,3.3,NEUTRAL
139,,A person is wearing a hat and is sitting on the grass,3.8,NEUTRAL
140,,A group of friends are riding the current in a raft,4.9,ENTAILMENT
141,,A group is not riding the current in a raft,3.7,CONTRADICTION
146,,This group of people is practicing water safety and wearing preservers,3.2,NEUTRAL
148,,This group of people is practicing water safety and wearing preservers,3.1,NEUTRAL
150,,A deer isn't jumping over the fence,3.9,CONTRADICTION
159,,People are walking outside a building that has many murals on it,3.4,NEUTRAL
161,,Nobody is in front of the colorful building,3.5,CONTRADICTION
163,,Nobody is in front of the colorful building,3.6,NEUTRAL
164,,Several people are in front of a colorful building,3.6,ENTAILMENT
170,,A family is watching a little boy who is missing a baseball,3.9,NEUTRAL
173,,A family is watching a little boy who is missing a baseball,3.015,NEUTRAL
176,,A family is watching a little boy who is hitting a baseball,2.7,NEUTRAL
183,,Various people are eating at red tables in a crowded restaurant with purple lights,3.3,NEUTRAL
184,,Various customers are eating in a crowded restaurant with purple lights,2.9,NEUTRAL
186,,A large group of Asian people is eating at a restaurant,3.1,NEUTRAL
