Index,Premise,Original Word,Best Synonym
0,A group of kids is playing in a yard and an old man is standing in the background,group,grouping
0,A group of kids is playing in a yard and an old man is standing in the background,.,A grouping of kids is playing in a yard and an old man is standing in the background 
1,A group of children is playing in the house and there is no man standing in the background,group,grouping
1,A group of children is playing in the house and there is no man standing in the background,.,A grouping of children is playing in the house and there is no man standing in the background 
2,The kids are playing outdoors near a man with a smile,kids,child
2,The kids are playing outdoors near a man with a smile,.,The child are playing outdoors near a man with a smile 
3,The young boys are playing outdoors and the man is smiling nearby,boys,boy
3,The young boys are playing outdoors and the man is smiling nearby,.,The young boy are playing outdoors and the man is smiling nearby 
4,Two dogs are fighting,dogs,dog
4,Two dogs are fighting,.,Two dog are fighting 
5,A brown dog is attacking another animal in front of the man in pants,dog,hound
5,A brown dog is attacking another animal in front of the man in pants,.,A brown hound is attacking another animal in front of the man in pants 
6,A brown dog is attacking another animal in front of the man in pants,dog,hound
6,A brown dog is attacking another animal in front of the man in pants,.,A brown hound is attacking another animal in front of the man in pants 
7,Nobody is riding the bicycle on one wheel,Nobody,nobody
7,Nobody is riding the bicycle on one wheel,.,nobody is riding the bicycle on one wheel 
8,A person is riding the bicycle on one wheel,person,individual
8,A person is riding the bicycle on one wheel,.,A individual is riding the bicycle on one wheel 
9,A person on a black motorbike is doing tricks with a jacket,person,individual
9,A person on a black motorbike is doing tricks with a jacket,.,A individual on a black motorbike is doing tricks with a jacket 
10,A man with a jersey is dunking the ball at a basketball game,man,human_being
10,A man with a jersey is dunking the ball at a basketball game,.,A human_being with a jersey is dunking the ball at a basketball game 
11,The player is dunking the basketball into the net and a crowd is in background,player,musician
11,The player is dunking the basketball into the net and a crowd is in background,.,The musician is dunking the basketball into the net and a crowd is in background 
12,Two young women are not sparring in a kickboxing fight,women,woman
12,Two young women are not sparring in a kickboxing fight,.,Two young woman are not sparring in a kickboxing fight 
13,Two people are kickboxing and spectators are watching,people,mass
13,Two people are kickboxing and spectators are watching,.,Two mass are kickboxing and spectators are watching 
14,Two women are sparring in a kickboxing match,women,woman
14,Two women are sparring in a kickboxing match,.,Two woman are sparring in a kickboxing match 
15,Three kids are sitting in the leaves,kids,child
15,Three kids are sitting in the leaves,.,Three child are sitting in the leaves 
16,Children in red shirts are playing in the leaves,Children,child
16,Children in red shirts are playing in the leaves,.,child in red shirts are playing in the leaves 
17,Children in red shirts are playing in the leaves,Children,child
17,Children in red shirts are playing in the leaves,.,child in red shirts are playing in the leaves 
18,Two angels are making snow on the lying children,angels,angel
18,Two angels are making snow on the lying children,.,Two angel are making snow on the lying children 
19,Two children are lying in the snow and are drawing angels,children,child
19,Two children are lying in the snow and are drawing angels,.,Two child are lying in the snow and are drawing angels 
20,Two people in snowsuits are lying in the snow and making snow angels,people,mass
