pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
42,Two people are kickboxing and spectators are not watching,Two people are kickboxing and spectators are watching,3.4,CONTRADICTION
88,There is no biker jumping in the air,A lone biker is jumping in the air,4.2,CONTRADICTION
90,A man is jumping into an empty pool,A man is jumping into a full pool,3.0,CONTRADICTION
122,Five kids are standing close together and one kid has a gun,Five kids are standing close together and none of the kids has a gun,3.7,CONTRADICTION
141,A group of friends are riding the current in a raft,A group is not riding the current in a raft,3.7,CONTRADICTION
150,A deer is jumping over a fence,A deer isn't jumping over the fence,3.9,CONTRADICTION
161,Several people are in front of a colorful building,Nobody is in front of the colorful building,3.5,CONTRADICTION
192,A motorcycle rider is standing up on the seat of a white motorcycle,No motorcycle rider is standing up on the seat of a motorcycle,3.8,CONTRADICTION
194,Nobody is on a motorcycle and is standing on the seat,Someone is on a black and white motorcycle and is standing on the seat,3.7,CONTRADICTION
201,There is no motorcyclist riding a motorbike along a roadway,A motorcyclist is riding a motorbike along a roadway,3.7,CONTRADICTION
232,Three Asian kids are dancing and a man is looking,Three Asian kids are dancing and there is no man looking,3.9,CONTRADICTION
254,A hiker is on top of the mountain and is dancing,There is no hiker dancing on top of the mountain,3.2,CONTRADICTION
256,There is no man on a rock high above some trees standing in a strange position,A man is on a rock high above some trees and is standing in a strange position,4.3,CONTRADICTION
266,The brown horse is near a red barrel at the rodeo,The brown horse is far from a red barrel at the rodeo,3.6,CONTRADICTION
276,The boy is sitting near the blue ocean,The boy is wading through the blue ocean,3.2,CONTRADICTION
283,A man is playing a guitar on stage,There is no man playing a guitar on stage,3.6,CONTRADICTION
301,A nude lady is walking in front of a crowd in body paint,There is no lady walking in body paint in front of a crowd ,2.9,CONTRADICTION
312,A crowd of people is near the water,A crowd of people is far from the water,3.8,CONTRADICTION
341,There is no girl with a black bag on a crowded train,A girl with a black bag is on a crowded train,3.7,CONTRADICTION
363,A soccer ball is not rolling into a goal net,A soccer ball is rolling into a goal net,3.4,CONTRADICTION
372,A man is sitting on a chair and rubbing his eyes,There is no man sitting on a chair and rubbing his eyes,3.8,CONTRADICTION
392,There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,4.1,CONTRADICTION
395,A man is sitting near a bike and is writing a note,There is no man writing a note near a bike,4.2,CONTRADICTION
423,Two men are not holding fishing poles,Two men are holding fishing poles,3.2,CONTRADICTION
454,Two children and an adult are standing next to a tree limb,Two children and an adult are not standing next to a tree limb,3.6,CONTRADICTION
476,There is no child holding a water gun or getting sprayed with water,A laughing child is holding a water gun and getting sprayed with water,4.0,CONTRADICTION
489,There is no dog playing with a red ball,Two daschunds are playing with a red ball,3.0,CONTRADICTION
506,A man wearing a dyed black shirt is sitting at the table and laughing,"There is no man wearing a shirt dyed black, sitting at the table and laughing",3.7,CONTRADICTION
529,A biker is naked,A biker is wearing gear which is black,3.315,CONTRADICTION
542,The man in a grey t-shirt is sitting on a rock in front of the waterfall,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,3.5,CONTRADICTION
555,"A dog, which is brown, and a black one are running in the grass",There is no dog running in the grass,3.4,CONTRADICTION
604,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","There is no young lady with light brown hair wearing a red necklace, a sweatshirt and earrings and smiling",3.7,CONTRADICTION
653,A young boy isn't climbing a wall made of rock,The young boy is climbing the wall made of rock,4.1,CONTRADICTION
668,The cyclist is performing a trick in the air,The cyclist isn't performing a trick in the air,3.8,CONTRADICTION
680,Two dogs of different breeds are looking at each other across a street,There are no dogs of different breeds looking at each other across a street,3.9,CONTRADICTION
693,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.7,CONTRADICTION
703,Two large persons are sitting on a park bench and they have a bottle of soda between them,Two large persons are standing near a park bench and they have nothing between them,4.1,CONTRADICTION
727,A man with a camera is studying the subject,There is no man with a camera studying the subject,3.6,CONTRADICTION
730,The man in the purple hat isn't operating a camera that makes videos,The man in the purple hat is operating a camera that makes videos,3.4,CONTRADICTION
785,The dog is snapping at some droplets of water,The dog isn't snapping at some droplets of water,4.0,CONTRADICTION
797,Nobody is in the snow wearing clothes that provide camouflage,"Two people are in the snow, wearing clothes that provide camouflage",3.3,CONTRADICTION
831,There is no little kid playing football and falling into the grass,The little kid is playing football and falling into the grass,4.1,CONTRADICTION
864,A lot of people are in an ice skating park,Not a lot of people are in an ice skating park,3.9,CONTRADICTION
868,An ice skating rink placed outdoors is empty,An ice skating rink placed outdoors is full of people,3.6,CONTRADICTION
874,An ice skating rink placed outdoors is full of people,There aren't many people in the ice skating park,3.6,CONTRADICTION
881,The girl in the blue and white uniform isn't cheering,The girl in the blue and white uniform is cheering,4.1,CONTRADICTION
927,The young girl is blowing a bubble that is huge,The young girl is blowing a bubble that is very small,3.7,CONTRADICTION
1002,There is no boy standing in front of the blue building in the space reserved for handicapped people,A boy is standing in front of the blue building in the space reserved for handicapped people,4.1,CONTRADICTION
1022,A woman is wearing sunglasses of large size and is holding newspapers in both hands,There is no woman wearing sunglasses of large size and holding newspapers in both hands,3.8,CONTRADICTION
1046,A dog is near the red ball in the air,A dog is far from the red ball in the air,3.6,CONTRADICTION
1074,The young girl with a pink shirt is peacefully lying on the grass,The young girl with a pink shirt isn't peacefully lying on the grass,4.5,CONTRADICTION
1083,There is no large dog running on the grass with a tennis ball in its mouth,A large dog is running on the grass with a tennis ball in its mouth,3.5,CONTRADICTION
1099,There is no woman riding a horse,A woman is riding a horse,2.8,CONTRADICTION
1118,A dog is riding a skateboard,There is no dog riding a skateboard,3.5,CONTRADICTION
1120,A dog is riding a skateboard,There is no dog riding a skateboard,3.2,CONTRADICTION
1122,There is no dog riding a skateboard,A dog is riding a skateboard,3.8,CONTRADICTION
1149,There is no man playing a guitar,A man is playing a guitar,2.8,CONTRADICTION
1167,There is no woman slicing a carrot,A woman is slicing a carrot,4.1,CONTRADICTION
1169,There is no woman slicing a potato,A woman is slicing a potato,3.9,CONTRADICTION
1194,A man is speaking on a podium,There is no man speaking on a podium,3.0,CONTRADICTION
1207,A woman is not talking on a telephone,A woman is talking on a telephone,3.5,CONTRADICTION
1227,A man is slicing a tomato,There is no man slicing a tomato,3.3,CONTRADICTION
1270,There is no man mixing,A man is mixing,3.7,CONTRADICTION
1294,A cat is stuck on a moving ceiling fan,There is no cat swinging on a fan,2.8,CONTRADICTION
1297,A man is playing flute,There is no man playing flute,3.5,CONTRADICTION
1341,There is no man making a phone call,A man is making a phone call,3.4,CONTRADICTION
1350,There is no dog rolling from side to side,A dog is rolling from side to side,3.8,CONTRADICTION
1352,There is no puppy rolling,A puppy is repeatedly rolling from side to side on its back,3.8,CONTRADICTION
1361,The machine is not shaving a pencil,The machine is shaving the end of a pencil,3.8,CONTRADICTION
1368,There is no man playing a keyboard,A man is playing a keyboard,3.7,CONTRADICTION
1372,A person is not playing the keyboard,A man is playing a keyboard,2.6,CONTRADICTION
1379,Nobody is rinsing a steak with water,A person is rinsing a steak with water,4.0,CONTRADICTION
1381,Nobody is rinsing a steak with water,A man is rinsing a large steak,3.8,CONTRADICTION
1386,A person is not chopping an onion,A person is chopping an onion,4.4,CONTRADICTION
1388,A person is riding a motorcycle,A person is standing near a motorcycle,3.3,CONTRADICTION
1415,Some men are sawing,There are no men sawing,3.9,CONTRADICTION
1417,Men are sawing logs,There are no men sawing,3.9,CONTRADICTION
1431,A man is playing a guitar,A man is not playing a guitar,3.4,CONTRADICTION
1467,Three men are jumping on a wall,Three men are jumping off a wall,4.0,CONTRADICTION
1480,A deer is jumping over a cyclone fence,The deer is not jumping over the fence,3.7,CONTRADICTION
1482,A deer is standing inside a fence,The deer is jumping over the fence,3.5,CONTRADICTION
1494,There is no man playing guitar,A man is playing guitar,4.3,CONTRADICTION
1498,A man is playing guitar,There is no man playing a guitar,4.1,CONTRADICTION
1514,Two men are playing table football,Two men are playing table tennis,2.8,CONTRADICTION
1521,There is no woman cutting broccoli,A woman is cutting broccoli,3.4,CONTRADICTION
1532,A woman is cutting an onion,There is no woman cutting an onion,3.5,CONTRADICTION
1541,A man is playing two keyboards,There is no man playing two keyboards,2.4,CONTRADICTION
1566,A man is playing the guitar,There is no man playing the guitar,3.5,CONTRADICTION
1585,A badger is shrewdly digging the earth,The badger isn't burrowing a hole,2.7,CONTRADICTION
1588,A man is pouring liquid into a pot,There is no man pouring liquid into a pot,3.7,CONTRADICTION
1599,The man is operating a stenograph,The man isn't operating a stenograph,3.3,CONTRADICTION
1615,No snake is being fed a mouse by a man,The man is cautiously feeding a mouse to the snake,3.4,CONTRADICTION
1621,The man isn't playing the piano,The man is playing a piano,3.6,CONTRADICTION
1631,A woman is breaking two eggs in a bowl,There is no woman breaking eggs in a bowl,3.4,CONTRADICTION
1641,The girl is recklessly jumping onto a car,The girl isn't jumping onto the car recklessly,3.6,CONTRADICTION
1657,The potato is being peeled by a woman,The potato isn't being peeled by a woman,3.2,CONTRADICTION
1659,One woman is peeling a potato,The potato isn't being peeled by a woman,3.6,CONTRADICTION
1661,There is no woman peeling a potato,The potato is being peeled by a woman,3.5,CONTRADICTION
1668,The guitar is being played by the man,The guitar is being played by nobody,3.9,CONTRADICTION
1687,The man is pouring some oil on the tomatoes,A man isn't pouring oil on the tomatoes.,3.0,CONTRADICTION
1691,There is no milk being drunk by a cat,The milk is being drunk by a cat,3.7,CONTRADICTION
1694,A kitten is drinking fresh milk,There is no kitten drinking milk,3.7,CONTRADICTION
1700,A kitten is drinking fresh milk,There is no milk being drunk by a cat,3.7,CONTRADICTION
1716,No onion is being cut by a man,An onion is being cut by a man,3.1,CONTRADICTION
1724,A man is recklessly riding a horse,There is no man recklessly riding a horse,4.1,CONTRADICTION
1747,One man is turning on the microwave,One man is turning off the microwave,4.0,CONTRADICTION
1751,One man is turning on the microwave,There is no man is pushing the buttons of a microwave,3.7,CONTRADICTION
1755,A flute is being played by a girl,A flute is being put away by a girl,3.1,CONTRADICTION
1766,The boy isn't playing the piano happily,A boy is happily playing the piano,3.8,CONTRADICTION
1781,A cheetah is quickly running behind its prey.,There is no cheetah quickly running behind its prey,3.8,CONTRADICTION
1782,A cheetah is quickly running behind its prey.,A prey is quickly running behind the cheetah,3.6,CONTRADICTION
1784,A cheetah is chasing its prey across a field,There is no cheetah quickly running behind its prey,3.6,CONTRADICTION
1814,The person isn't dicing up an orange pepper,The person is dicing up a pepper which is orange,3.3,CONTRADICTION
1820,There is no cook slicing some bell peppers,The person is dicing up a pepper which is orange,3.4,CONTRADICTION
1830,Tofu is being sliced by a woman,Tofu isn't being sliced by a woman,3.5,CONTRADICTION
1851,The man is carelessly smearing butter on a slice of garlic bread,The man isn't smearing butter on bread ,3.7,CONTRADICTION
1866,The parrot is talking into the microphone,There is no parrot speaking,3.5,CONTRADICTION
1869,A parrot is speaking,The parrot is silent in front of the microphone,2.9,CONTRADICTION
1876,The food on the trays isn't being eaten by the kittens,The food on the trays is being eaten by the kittens,3.3,CONTRADICTION
1879,The food on the trays isn't being eaten by the kittens,Some kittens are eating,2.8,CONTRADICTION
1886,A person is singing and playing the guitar,There is no person singing and playing the guitar,4.1,CONTRADICTION
1910,The windows are being cleaned by a man,There is no window being cleaned by a man,3.4,CONTRADICTION
1936,There is no baby being put into a trash can by a woman,The baby is being put into a trash can by a woman,3.8,CONTRADICTION
1954,The band is singing ,The band isn't singing,3.9,CONTRADICTION
1974,Nobody is playing the guitar and singing,"The woman is playing a guitar, which is acoustic, and singing",3.585,CONTRADICTION
1978,There is no water being drunk by a cat,Some water is being drunk by a cat,3.8,CONTRADICTION
1989,A girl is playing the guitar,A girl is not playing the guitar,3.3,CONTRADICTION
1992,The man is intensely playing the guitar,The man isn't intensely playing the guitar,2.9,CONTRADICTION
2015,The man isn't doing a magic trick,The man is doing a magic trick,3.6,CONTRADICTION
2041,The boy is playing in the mud,The boy isn't playing in the mud,3.4,CONTRADICTION
2059,There is no lady cutting up some meat,Some meat is being cut into pieces by a woman,2.6,CONTRADICTION
2079,A woman is beating two eggs in a bowl and using a whisk made of wire,There is no woman beating two eggs in a bowl and using a whisk made of wire,4.0,CONTRADICTION
2082,A person is strongly whisking eggs in a bowl,There is no woman beating two eggs in a bowl and using a whisk made of wire,3.0,CONTRADICTION
2092,There is no white car being driven by the man,A white car is being driven by the man,3.5,CONTRADICTION
2102,There is no rope being climbed by a man,A rope is being climbed by a man,3.8,CONTRADICTION
2115,The cat is licking milk from a saucer,The cat isn't licking milk from a saucer,3.4,CONTRADICTION
2118,There is no cat hungrily drinking milk,The cat is hungrily drinking milk,3.7,CONTRADICTION
2121,The cat is licking milk from a saucer,There is no cat hungrily drinking milk,2.6,CONTRADICTION
2153,The man is setting up the camera and taking sunset pictures at the beach,The man is putting away the camera and walks away from the beach,3.5,CONTRADICTION
2165,A woman is using a sewing machine,There is no woman using a sewing machine,4.1,CONTRADICTION
2167,A woman is sewing with a machine,There is no woman using a sewing machine,3.2,CONTRADICTION
2172,A woman is cracking an egg into a bowl,There is no woman cracking an egg into a bowl,3.8,CONTRADICTION
2175,The woman is cracking two eggs into a glass bowl,The woman is not cracking two eggs into a glass bowl,3.3,CONTRADICTION
2179,The woman is cracking two eggs into a glass bowl,There is no woman cracking an egg into a bowl,3.8,CONTRADICTION
2195,A man is sprinkling seasoning on several sliced and buttered loaves of bread,There is no man sprinkling seasoning on several sliced and buttered loaves of bread,3.4,CONTRADICTION
2233,There is no woman tapping her fingers,A woman is tapping her fingers on a table,3.8,CONTRADICTION
2238,The dog is not knocking the boy into the water,The dog is knocking a boy into the water,3.7,CONTRADICTION
2247,There is no man eating a bowl of cereal,A man is eating a bowl of cereal,4.0,CONTRADICTION
2251,There is no man eating cereal,A man is eating a bowl of cereal,4.0,CONTRADICTION
2253,The man is eating cereal,There is no man eating a bowl of cereal,3.7,CONTRADICTION
2287,A cat is playing with a watermelon,The cat isn't playing with a watermelon,3.7,CONTRADICTION
2289,The cat is playing with a watermelon,There is no cat playing with a watermelon,3.4,CONTRADICTION
2303,The woman is waterskiing,The woman is not waterskiing,4.1,CONTRADICTION
2305,A woman is wakeboarding on a lake,The woman is not waterskiing,3.6,CONTRADICTION
2310,Someone is banging a camera lens against a nail,There is no one banging a camera lens against a nail,3.3,CONTRADICTION
2316,Someone is banging a camera lens against a nail,The man is not hammering a nail with a camera,3.6,CONTRADICTION
2329,There is no person cutting an onion,A person is cutting an onion,4.0,CONTRADICTION
2338,The oriental lady is cutting a carrot into thin pieces,The oriental lady is not cutting a carrot into thin pieces,4.1,CONTRADICTION
2344,There is no woman slicing a carrot,The oriental lady is cutting a carrot into thin pieces,2.4,CONTRADICTION
2350,The lady is adding cheese to the sauce,The woman is removing cheese from the sauce,3.4,CONTRADICTION
2363,There is no person setting fire to the cameras,A person is burning some cameras with a blow torch,3.9,CONTRADICTION
2369,A man is playing the guitar,There is no man playing the guitar,3.4,CONTRADICTION
2375,The man is playing an acoustic guitar,There is no man playing the guitar,4.2,CONTRADICTION
2409,The woman is not slicing an onion with a knife,The woman is slicing an onion with a knife,3.3,CONTRADICTION
2423,The runners are racing around a track,Runners are not taking part in the race,3.8,CONTRADICTION
2429,There is no man running down the road,A man is running down the road,3.4,CONTRADICTION
2441,There is no man playing the piano with his nose,A man is playing the keyboard with his nose,2.9,CONTRADICTION
2447,A baby rhino is shunning an adult rhino,A baby rhino is following an adult rhino,3.5,CONTRADICTION
2499,There is no panda climbing,A panda is climbing,3.3,CONTRADICTION
2510,The woman is dancing,The woman is not dancing,3.8,CONTRADICTION
2518,Four people are floating on a raft,Nobody is floating on a raft,4.15,CONTRADICTION
2529,A cat is eating corn on the cob,There is no cat eating corn on the cob,3.8,CONTRADICTION
2538,Someone is slicing a tomato,Nobody is slicing a tomato,3.9,CONTRADICTION
2540,The person isn't slicing a vegetable,The person is slicing a vegetable,4.085,CONTRADICTION
2549,There is no little girl playing the piano,A little girl is playing the piano,3.5,CONTRADICTION
2551,There is no little girl playing the piano,A little girl is playing a grand piano on stage,2.6,CONTRADICTION
2574,There is no man playing a bamboo flute,A man is playing a bamboo flute,4.0,CONTRADICTION
2578,A man is playing a bamboo flute,The man is not playing a flute,3.5,CONTRADICTION
2608,A monkey is brushing the dog,The monkey is not brushing a bull dog,3.2,CONTRADICTION
2626,There is no man with a hard hat dancing,A man with a hard hat is dancing,3.9,CONTRADICTION
2628,A man is wearing a hard hat and dancing,There is no man with a hard hat dancing,3.6,CONTRADICTION
2654,The lady is cracking an egg for the mixer,The lady isn't cracking an egg for the mixer,2.9,CONTRADICTION
2656,The lady is slicing up the meat,The lady isn't slicing up the meat,4.1,CONTRADICTION
2696,There is no man singing and playing the guitar,The man is singing and playing the guitar,4.0,CONTRADICTION
2703,A person is boiling noodles,There is no person boiling noodles,3.8,CONTRADICTION
2709,There is no person boiling noodles,A woman is boiling noodles in water,2.9,CONTRADICTION
2714,The man is not kick boxing with a trainer,The man is kick boxing with a trainer,3.7,CONTRADICTION
2754,Soccer players are kicking a soccer ball into the goal,There are no soccer players kicking a soccer ball into the goal,3.0,CONTRADICTION
2756,A soccer player is scoring a goal,There are no soccer players kicking a soccer ball into the goal,2.9,CONTRADICTION
2761,A man and a woman are eating,A man and a woman are not eating,3.3,CONTRADICTION
2763,A man and woman are talking,A man and a woman are silent,3.4,CONTRADICTION
2770,There is no person pouring olive oil into a pot on the stove,A person is pouring olive oil into a pot on the stove,3.6,CONTRADICTION
2783,The woman is not walking the dog,The woman is walking the dog,3.8,CONTRADICTION
2792,A small guinea pig is gnawing and eating a piece of carrot on the floor,There is no small guinea pig gnawing and eating a piece of carrot on the floor,3.2,CONTRADICTION
2817,A woman is preparing an egg in a skillet,There is no woman preparing an egg in a skillet,3.6,CONTRADICTION
2828,The girl is using an eye pencil on her eyelid,The girl is not using an eye pencil on her eyelid,3.7,CONTRADICTION
2837,There is no girl playing the piano,A girl is playing the piano,3.8,CONTRADICTION
2850,The woman is not cooking something,A woman is cooking eggs,4.2,CONTRADICTION
2864,Nobody is riding a bike,Two people are riding a bike,4.3,CONTRADICTION
2875,The man is not riding a mechanical bull,The man is riding a mechanical bull,3.3,CONTRADICTION
2879,There is no man riding a mechanical bull,The man is riding a mechanical bull,3.5,CONTRADICTION
2909,A girl is applying makeup to her face,There is no girl applying makeup to her face,4.3,CONTRADICTION
2913,A girl is applying makeup to her face,There is no woman putting on makeup,3.1,CONTRADICTION
2920,The herd of caribous is crossing a road,The herd of caribous is not crossing a road,3.4,CONTRADICTION
2927,There is no woman slicing an onion,A woman is slicing an onion,3.1,CONTRADICTION
2938,Two men are fighting in a cow pasture,Nobody is fighting in a cow pasture,3.7,CONTRADICTION
2958,The man is not eating a banana by a tree,The man is eating a banana by a tree,3.4,CONTRADICTION
2998,There is no woman playing an electric guitar,A woman is playing an electric guitar,4.2,CONTRADICTION
3005,There is no man in a suit standing at a microphone and singing,A man in a suit is standing at a microphone and singing,3.1,CONTRADICTION
3007,The man on stage is singing into the microphone,The man on stage isn't singing into the microphone,3.5,CONTRADICTION
3027,Two boy are playing on a trampoline,Nobody is playing on a trampoline,3.8,CONTRADICTION
3038,The dog is playing with a plastic container,The puppy is not playing with a plastic container,3.8,CONTRADICTION
3054,A man is pouring oil into a skillet,A man is taking the oil out off a skillet,3.1,CONTRADICTION
3072,A person is brushing a cat,Nobody is brushing a cat,3.6,CONTRADICTION
3092,Three men are dancing,The men are not dancing,3.6,CONTRADICTION
3110,There is no man eating some food,A man is eating some food,3.3,CONTRADICTION
3114,A man is eating some food,The man is fasting,4.2,CONTRADICTION
3121,There is no woman using an eye pencil and applying eye liner to her eyelid,A woman is using an eye pencil and is applying eye liner to her eyelid,3.8,CONTRADICTION
3140,The monkey isn't practicing martial arts,The monkey is practicing martial arts,3.5,CONTRADICTION
3157,A man is cutting a box,There is no man cutting a box,3.9,CONTRADICTION
3170,There is no young boy playing a wind instrument,A young boy is playing a wind instrument,4.3,CONTRADICTION
3186,A man is slicing a tomato,There is no man slicing a tomato,3.0,CONTRADICTION
3201,The woman is stirring meat in a bowl,There is no lady mixing a meat mixture in a bowl,4.1,CONTRADICTION
3208,There is no woman squeezing juice out of a lemon,A woman is squeezing a lemon,3.7,CONTRADICTION
3217,A kitten is playing with a blue rope toy,The kitten is not playing with a toy,4.0,CONTRADICTION
3264,A man is playing the guitar,Nobody is playing the guitar,3.7,CONTRADICTION
3273,There is no person kicking a soccer ball between somebody's feet,The soccer player is kicking the ball between somebody's legs,3.8,CONTRADICTION
3278,The young boy is running through the ocean waves,The young boy is not running through the ocean waves,3.8,CONTRADICTION
3287,A woman is coating a pork chop,There is no woman coating a pork chop,3.7,CONTRADICTION
3299,The man and woman are not walking,The man and woman are walking,2.8,CONTRADICTION
3316,There is no woman cooking a breaded pork chop,A woman is cooking a breaded pork chop,3.4,CONTRADICTION
3324,There is no woman cooking a breaded pork chop,The woman is frying a breaded pork chop,3.7,CONTRADICTION
3329,The woman is slicing herbs,The woman is not slicing herbs,3.8,CONTRADICTION
3347,There is no one typing,Someone is typing,4.0,CONTRADICTION
3353,There is no one typing,Someone is typing on a keyboard,2.7,CONTRADICTION
3362,A woman is peeling a potato,There is no woman peeling a potato,3.4,CONTRADICTION
3367,Someone is cleaning an animal,Someone is dirtying an animal,3.4,CONTRADICTION
3374,There is no woman riding a water scooter,A woman is riding a water scooter,3.4,CONTRADICTION
3385,There is no panda bear eating some bamboo,A panda bear is eating some bamboo,3.9,CONTRADICTION
3389,A panda bear is eating some bamboo,The panda is not eating bamboo,2.6,CONTRADICTION
3396,The woman is stirring eggs in a bowl,The woman isn't stirring eggs in a bowl,3.9,CONTRADICTION
3400,Nobody is beating an egg,The woman is stirring eggs in a bowl,4.1,CONTRADICTION
3405,A person is unfolding a tortilla,A person is folding a tortilla,3.1,CONTRADICTION
3440,A person is wiping butter on a tray,There is no person buttering a tray,3.9,CONTRADICTION
3452,A man is chopping a log with an axe,There is no man chopping a log with an axe,3.3,CONTRADICTION
3454,The man is not chopping a tree trunk with an axe,The man is chopping a tree trunk with an axe,3.9,CONTRADICTION
3461,There is no man playing a guitar,A man is playing a guitar,2.8,CONTRADICTION
3467,A man is playing a guitar,There is no man playing a guitar,4.285,CONTRADICTION
3472,A man is thinking,There is no man thinking,3.5,CONTRADICTION
3484,The cat perched on the table isn't looking out the window,The cat perched on the table is looking out the window,3.7,CONTRADICTION
3494,There is no dog licking a baby,A dog is licking a baby,3.75,CONTRADICTION
3507,The woman is not dicing garlic,The woman is dicing garlic,3.0,CONTRADICTION
3514,A woman is dancing,There is no woman dancing,2.9,CONTRADICTION
3516,The man is not dancing,The man is dancing,3.9,CONTRADICTION
3537,Nobody is cooking okra in a pan,Someone is cooking okra in a pan,3.7,CONTRADICTION
3547,A man is speaking,There is no man speaking,3.9,CONTRADICTION
3554,A squirrel is spinning around in circles,There is no squirrel spinning around in circles,4.2,CONTRADICTION
3556,A squirrel is lying down,A squirrel is running around in circles,2.9,CONTRADICTION
3565,Paper is being cut with scissors,There is no paper being cut with scissors,3.7,CONTRADICTION
3568,The piece of paper is not being cut,The piece of paper is being cut,4.0,CONTRADICTION
3607,A monkey is riding a bike,There is no monkey riding a bike,3.0,CONTRADICTION
3620,The fish are immobile,A fish is swimming,3.8,CONTRADICTION
3627,The meat is being dropped into a pan,The meat is not being dropped into a pan,3.2,CONTRADICTION
3638,The woman is handling a frog,The woman is not handling a frog,3.6,CONTRADICTION
