pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
1,A abstraction of kids is playing in a yard and an old adult is standing in the background,A group of boys in a yard is playing and a man is standing in the background,4.5,NEUTRAL
2,A abstraction of children is playing in the house and there is no man standing in the background,A group of kids is playing in a yard and an old man is standing in the background,3.2,NEUTRAL
5,The juveniles are playing outdoors near a man with a smile,A group of kids is playing in a yard and an old man is standing in the background,3.4,NEUTRAL
9,The young males are playing outdoors and the adult is smiling nearby,A group of kids is playing in a yard and an old man is standing in the background,3.7,NEUTRAL
12,Two canines are fighting,Two dogs are wrestling and hugging,4.0,NEUTRAL
14,A brown canine is attacking another animal in front of the man in pants,Two dogs are fighting,3.5,NEUTRAL
18,A brown canine is attacking another animal in front of the man in pants,Two dogs are wrestling and hugging,3.2,NEUTRAL
25,commoner is riding the bicycle on one wheel,A person in a black jacket is doing tricks on a motorbike,2.8,NEUTRAL
26,A organism is riding the bicycle on one wheel,A man in a black jacket is doing tricks on a motorbike,3.7,NEUTRAL
28,A organism on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,3.4,NEUTRAL
35,A adult with a jersey is dunking the ball at a basketball game,A man who is playing dunks the basketball into the net and a crowd is in background,3.6,NEUTRAL
40,The contestant is dunking the basketball into the net and a gathering is in background,A man with a jersey is dunking the ball at a basketball game,3.8,NEUTRAL
45,Two young adults are not sparring in a kickboxing fight,Two women are sparring in a kickboxing match,3.9,NEUTRAL
47,Two organisms are kickboxing and spectators are watching,Two young women are not sparring in a kickboxing fight,3.415,NEUTRAL
49,Two adults are sparring in a kickboxing match,Two people are kickboxing and spectators are not watching,3.7,NEUTRAL
56,Three juveniles are sitting in the leaves,Three kids are jumping in the leaves,3.8,NEUTRAL
58,juveniles in red shirts are playing in the leaves,Three kids are sitting in the leaves,3.5,NEUTRAL
62,juveniles in red shirts are playing in the leaves,Three kids are jumping in the leaves,4.0,NEUTRAL
65,Two spiritual beings are making snow on the lying children,Two children are lying in the snow and are making snow angels,2.9,NEUTRAL
70,Two juveniles are lying in the snow and are drawing angels,Two people in snowsuits are lying in the snow and making snow angels,4.1,NEUTRAL
72,Two organisms in snowsuits are lying in the snow and making snow angels,Two angels are making snow on the lying children,2.5,NEUTRAL
73,Two juveniles are lying in the snow and are making snow angels,Two people in snowsuits are lying in the snow and making snow angels,4.2,NEUTRAL
78,organisms wearing costumes are gathering in a forest and are looking in the same direction,People wearing costumes are scattering in a forest and are looking in different directions,3.2,NEUTRAL
79,organisms are looking at some costumes gathered in the vicinity of the forest,People wearing costumes are gathering in a forest and are looking in the same direction,3.635,NEUTRAL
81,A little woman is looking at a woman in costume,People wearing costumes are scattering in a forest and are looking in different directions,2.4,NEUTRAL
82,A little woman is looking at a woman in costume,People are looking at some costumes gathered in the vicinity of the forest,2.6,NEUTRAL
83,A young woman is looking at a woman in costume,People wearing costumes are gathering in a forest and are looking in the same direction,2.2,NEUTRAL
84,organisms wearing costumes are gathering in a forest and are looking in the same direction,The little girl is looking at a man in costume,3.0,NEUTRAL
85,organisms wearing costumes are gathering in a forest and are looking in the same direction,A little girl in costume looks like a woman,2.0,NEUTRAL
91,A adult is jumping into an empty pool,The man's jumper is in the empty pool,3.1,NEUTRAL
93,A lone biker is jumping in the air,A man is jumping into a full pool,1.7,NEUTRAL
94,The man's person is in the empty pool,A lone biker is jumping in the air,1.4,NEUTRAL
97,A lone biker is jumping in the air,A man is jumping into an empty pool,1.5,NEUTRAL
99,Four juveniles are doing backbends in the gym,Four children are doing backbends in the park,3.8,NEUTRAL
112,Two abstractions of people are playing football,A player is running with the ball,2.1,NEUTRAL
113,Two units are competing in a baseball game,A player is running with the ball,3.0,NEUTRAL
117,A contestant is running with the ball,Two teams are competing in a football match,2.6,NEUTRAL
120,Five wooden supports are in front of each child's hut,Five children are standing in front of a wooden hut,3.2,NEUTRAL
124,Five juveniles are standing close together and none of the kids has a gun,Five children are standing in front of a wooden hut,2.6,NEUTRAL
126,Five juveniles are standing in a wooden hut,Five kids are standing close together and one kid has a gun,2.7,NEUTRAL
127,Five wooden supports are in front of each child's hut,Five kids are standing close together and one kid has a gun,2.3,NEUTRAL
130,A adult is sitting in a field,A man is running in a field,2.6,NEUTRAL
131,A organism is wearing a hat and is sitting on the grass,A person is sitting in a field and is wearing a hat,4.1,NEUTRAL
133,A organism is sitting and wearing a grass hat,A person is wearing a hat and is sitting on the grass,3.4,NEUTRAL
136,A organism is sitting and wearing a grass hat,A man is sitting in a field,3.3,NEUTRAL
139,A adult is sitting in a field,A person is wearing a hat and is sitting on the grass,3.8,NEUTRAL
146,The current is being ridden by a group of friends in a raft,This group of people is practicing water safety and wearing preservers,3.2,NEUTRAL
148,A abstraction of friends are riding the current in a raft,This group of people is practicing water safety and wearing preservers,3.1,NEUTRAL
159,organisms are walking inside a building that has many murals on it,People are walking outside a building that has many murals on it,3.4,NEUTRAL
163,organisms are walking outside a building that has many murals on it,Nobody is in front of the colorful building,3.6,NEUTRAL
170,A unit is watching a little boy United Nations agency is hitting a baseball,A family is watching a little boy who is missing a baseball,3.9,NEUTRAL
173,A juvenile is hitting a baseball,A family is watching a little boy who is missing a baseball,3.015,NEUTRAL
176,A juvenile is missing a baseball,A family is watching a little boy who is hitting a baseball,2.7,NEUTRAL
183,A purple gathering of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,3.3,NEUTRAL
184,A large abstraction of Asian people is eating at a restaurant,Various customers are eating in a crowded restaurant with purple lights,2.9,NEUTRAL
186,A purple gathering of people is eating on various red lit restaurant tables,A large group of Asian people is eating at a restaurant,3.1,NEUTRAL
188,Various organisms are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,3.2,NEUTRAL
205,A traveler without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3,NEUTRAL
215,Two canines are playing by a tree,A dog is catching a stick in the air and another is watching,3.7,NEUTRAL
216,Two canines are playing by a tree,There is no dog leaping in the air,2.7,NEUTRAL
217,Two canines are playing by a tree,A dog is leaping high in the air and another is watching,3.0,NEUTRAL
